block_number,timestamp,balance
46450339,2025-02-07 16:46:51,0
46464339,2025-02-08 04:26:54,0
46478339,2025-02-08 16:06:54,0
46492339,2025-02-09 03:46:54,0
46506339,2025-02-09 15:26:54,0
46520339,2025-02-10 03:06:54,0
46534339,2025-02-10 14:46:54,0
46548339,2025-02-11 02:26:54,0
46562339,2025-02-11 14:06:58,0
46576339,2025-02-12 01:47:08,0
46590339,2025-02-12 13:27:08,0
46604339,2025-02-13 01:07:20,26857543990626756915
46618339,2025-02-13 12:47:28,56857543990626756915
46632339,2025-02-14 00:27:28,72658154959189973166
46646339,2025-02-14 12:07:28,96683849113137549149
46660339,2025-02-14 23:47:32,237683849113137549150
46674339,2025-02-15 11:27:32,267933749099205512025
46688339,2025-02-15 23:07:44,268103749099205512025
46702339,2025-02-16 10:47:44,268103749099205512025
46716339,2025-02-16 22:28:24,268103749099205512025
46730339,2025-02-17 10:08:32,268103749099205512025
46744339,2025-02-17 21:48:35,321941556193571359646
46758339,2025-02-18 09:28:44,321941556193571359646
46772339,2025-02-18 21:08:44,347727099778208324973
46786339,2025-02-19 08:48:45,347727099778208324973
46800339,2025-02-19 20:28:51,349286455991071288665
46814339,2025-02-20 08:08:52,349356448009038258830
46828339,2025-02-20 19:48:52,1363572952734337662243
46842339,2025-02-21 07:28:55,1363713240143571918292
46856339,2025-02-21 19:08:57,1408292914302946276572
46870339,2025-02-22 06:49:02,1409442608066097882929
46884339,2025-02-22 18:29:02,1409634455024067997823
46898339,2025-02-23 06:09:06,1410934470798067997824
46912339,2025-02-23 17:49:06,1410934470798067997824
46926339,2025-02-24 05:29:18,1410934470798067997824
46940339,2025-02-24 17:09:39,1410934470798067997824
46954339,2025-02-25 04:49:42,1410934470798067997824
46968339,2025-02-25 16:29:42,1416169979910844763330
46982339,2025-02-26 04:09:45,1417169979910844763330
46996339,2025-02-26 15:49:45,1417169979910844763330
47010339,2025-02-27 03:29:47,1417169979910844763330
47024339,2025-02-27 15:09:49,1417219979910844763330
47038339,2025-02-28 02:49:49,1417219979910844763330
47052339,2025-02-28 14:29:50,1417219979910844763330
47066339,2025-03-01 02:09:51,1417219979910844763330
47080339,2025-03-01 13:49:52,1417219979910844763330
47094339,2025-03-02 01:29:52,1417234979910844763330
47108339,2025-03-02 13:09:52,1417234979910844763330
47122339,2025-03-03 00:49:52,1417234979910844763330
47136339,2025-03-03 12:29:56,1417297419653653213470
47150339,2025-03-04 00:10:00,1417297419653653213470
47164339,2025-03-04 11:50:01,1417297419653653213470
47178339,2025-03-04 23:30:01,1415483435980144540963
47192339,2025-03-05 11:10:01,1415483435980144540963
47206339,2025-03-05 22:50:04,1415483444327868069145
47220339,2025-03-06 10:30:04,1414383274152659036530
47234339,2025-03-06 22:10:09,1414082977593688177629
47248339,2025-03-07 09:50:19,1414082977593688177629
47262339,2025-03-07 21:30:24,1411030387865418679212
47276339,2025-03-08 09:10:24,1411030387865418679212
47290339,2025-03-08 20:50:30,1411030387865418679212
47304339,2025-03-09 08:30:30,1411567479640099735334
47318339,2025-03-09 20:10:30,1415907479640099735334
47332339,2025-03-10 07:50:34,1415907479640099735334
47346339,2025-03-10 19:30:42,1415907479640099735334
47360339,2025-03-11 07:10:44,1415907479640099735334
47374339,2025-03-11 18:50:45,1421996550454334002716
47388339,2025-03-12 06:30:50,1421996550454334002716
47402339,2025-03-12 18:10:50,1422155211609542088079
47416339,2025-03-13 05:50:51,1422155211609542088079
47430339,2025-03-13 17:30:55,1422155211609542088079
47444339,2025-03-14 05:10:55,1422155211609542088079
47458339,2025-03-14 16:51:07,1422335211609542088079
47472339,2025-03-15 04:31:07,1419281119223244998068
47486339,2025-03-15 16:11:07,1419281119223244998068
47500339,2025-03-16 03:51:07,1419281119223244998068
47514339,2025-03-16 15:31:07,1419281119223244998068
47528339,2025-03-17 03:11:15,1419281119223244998068
47542339,2025-03-17 14:51:15,1419294738086417746035
47556339,2025-03-18 02:31:23,1419294738086417746035
47570339,2025-03-18 14:11:23,1419294738086417746035
47584339,2025-03-19 01:51:31,1419294738086417746035
47598339,2025-03-19 13:31:32,1410204029786081103101
47612339,2025-03-20 01:11:36,1410204029786081103101
47626339,2025-03-20 12:51:36,1410204029786081103101
47640339,2025-03-21 00:31:42,1410204029786081103101
47654339,2025-03-21 12:11:42,1410204029786081103101
47668339,2025-03-21 23:51:42,1410204029786081103101
47682339,2025-03-22 11:31:42,1410204029786081103101
47696339,2025-03-22 23:11:54,1410204029786081103101
47710339,2025-03-23 10:51:54,1410204029786081103101
47724339,2025-03-23 22:31:57,1410204029786081103101
47738339,2025-03-24 10:12:07,1410204029786081103101
47752339,2025-03-24 21:52:09,1410204029786081103101
47766339,2025-03-25 09:32:09,1410204029786081103101
47780339,2025-03-25 21:12:23,1410435420059299188978
47794339,2025-03-26 08:52:23,1410435420059299188978
47808339,2025-03-26 20:32:51,1412600129009544057968
47822339,2025-03-27 08:12:51,1412600129009544057968
47836339,2025-03-27 19:52:54,1412600129009544057968
47850339,2025-03-28 07:32:54,1298746465351403321309
47864339,2025-03-28 19:12:58,1298746465351403321309
47878339,2025-03-29 06:52:59,1298746465351403321309
47892339,2025-03-29 18:32:59,1298746465351403321309
47906339,2025-03-30 06:12:59,1298746465351403321309
47920339,2025-03-30 17:53:09,1298746465351403321309
47934339,2025-03-31 05:33:09,1298746465351403321309
47948339,2025-03-31 17:13:12,1298746465351403321309
47962339,2025-04-01 04:53:18,1298746465351403321309
47976339,2025-04-01 16:33:18,1298746465351403321309
47990339,2025-04-02 04:13:18,1298746465351403321309
48004339,2025-04-02 15:53:30,1298746465351403321309
48018339,2025-04-03 03:33:44,1298746465351403321309
48032339,2025-04-03 15:13:50,1298746465351403321309
48046339,2025-04-04 02:53:50,1298746465351403321309
48060339,2025-04-04 14:33:51,1298746465351403321309
48074339,2025-04-05 02:13:51,1298746465351403321309
48088339,2025-04-05 13:53:54,1298746465351403321309
48102339,2025-04-06 01:33:54,1298746465351403321309
48116339,2025-04-06 13:13:54,1298746465351403321309
48130339,2025-04-07 00:53:58,1298746465351403321309
48144339,2025-04-07 12:33:58,1298746465351403321309
48158339,2025-04-08 00:13:58,1298746465351403321309
48172339,2025-04-08 11:53:58,1298746465351403321309
48186339,2025-04-08 23:33:58,1299572593564777580723
48200339,2025-04-09 11:13:58,1299572593564777580723
48214339,2025-04-09 22:53:58,1299572593564777580723
48214340,2025-04-09 22:54:01,1299572593564777580723
48228340,2025-04-10 10:34:02,1246850315535415424983
48228341,2025-04-10 10:34:05,1246850315535415424983
48240341,2025-04-10 20:34:08,1246850315535415424983
48252341,2025-04-11 06:34:08,1246850315535415424983
48264341,2025-04-11 16:34:08,1246850315535415424983
48276341,2025-04-12 02:34:08,1246850315535415424983
