block_number,timestamp,balance
22182594,2025-04-02 21:02:59,0
22186094,2025-04-03 08:46:59,0
22189594,2025-04-03 20:31:23,0
22193094,2025-04-04 08:13:59,0
22196594,2025-04-04 19:56:59,0
22200094,2025-04-05 07:41:11,0
22203594,2025-04-05 19:25:23,0
22207094,2025-04-06 07:09:23,0
22210594,2025-04-06 18:54:11,0
22214094,2025-04-07 06:38:23,0
22217594,2025-04-07 18:23:23,0
22221094,2025-04-08 06:08:23,0
22224594,2025-04-08 17:50:23,0
22228094,2025-04-09 05:33:59,0
22231594,2025-04-09 17:17:47,0
22235094,2025-04-10 05:00:23,0
22238594,2025-04-10 16:41:23,0
22242094,2025-04-11 04:24:47,0
22245594,2025-04-11 16:06:59,0
22249094,2025-04-12 03:49:35,0
22252594,2025-04-12 15:30:47,0
22256094,2025-04-13 03:13:59,0
22259594,2025-04-13 14:56:23,0
22263094,2025-04-14 02:38:47,0
22266594,2025-04-14 14:20:47,0
22270094,2025-04-15 02:04:59,0
22273594,2025-04-15 13:49:35,0
22277094,2025-04-16 01:33:23,0
22280594,2025-04-16 13:15:11,0
22284094,2025-04-17 00:58:35,0
22287594,2025-04-17 12:43:11,0
22291094,2025-04-18 00:26:23,0
22294594,2025-04-18 12:08:23,0
22298094,2025-04-18 23:52:47,0
22301594,2025-04-19 11:35:23,0
22301595,2025-04-19 11:35:35,0
22301596,2025-04-19 11:35:47,0
22301597,2025-04-19 11:35:59,0
