block_number,timestamp,balance
22182585,2025-04-02 21:01:11,0
22186085,2025-04-03 08:45:11,0
22189585,2025-04-03 20:29:35,0
22193085,2025-04-04 08:12:11,0
22196585,2025-04-04 19:55:11,0
22200085,2025-04-05 07:39:23,886505440527193301
22203585,2025-04-05 19:23:35,886505440527193301
22207085,2025-04-06 07:07:35,886505440527193301
22210585,2025-04-06 18:52:23,886505440527193301
22214085,2025-04-07 06:36:35,886505440527193301
22217585,2025-04-07 18:21:35,886505440527193301
22221085,2025-04-08 06:06:35,0
22224585,2025-04-08 17:48:35,0
22228085,2025-04-09 05:32:11,0
22231585,2025-04-09 17:15:59,0
22235085,2025-04-10 04:58:35,0
22238585,2025-04-10 16:39:35,0
22242085,2025-04-11 04:22:59,0
22245585,2025-04-11 16:05:11,3503225637339500237
22249085,2025-04-12 03:47:47,3503225637339500237
22252585,2025-04-12 15:28:59,4641169053941234201
22256085,2025-04-13 03:12:11,4641169053941234201
22259585,2025-04-13 14:54:35,13000017584905560454
22263085,2025-04-14 02:36:59,13000017584905560454
22266585,2025-04-14 14:18:59,13000017584905560454
22270085,2025-04-15 02:03:11,13000017584905560454
22273585,2025-04-15 13:47:47,13000017584905560454
22277085,2025-04-16 01:31:35,13000017584905560454
22280585,2025-04-16 13:13:23,13000017584905560454
22284085,2025-04-17 00:56:47,15539131593108353634
22287585,2025-04-17 12:41:23,16457277681550857820
22291085,2025-04-18 00:24:35,20077728797970084142
22294585,2025-04-18 12:06:35,21500470960954081214
22298085,2025-04-18 23:50:59,32490141305063598067
22301585,2025-04-19 11:33:35,30671602747803887685
22301586,2025-04-19 11:33:47,30671602747803887685
22301587,2025-04-19 11:33:59,30671602747803887685
22301588,2025-04-19 11:34:11,30671602747803887685
