block_number,timestamp,balance
21387639,2024-12-12 20:32:11,0
21391139,2024-12-13 08:15:59,0
21394639,2024-12-13 19:59:11,0
21398139,2024-12-14 07:42:47,15976922370660686442
21401639,2024-12-14 19:26:59,172195208885824218745
21405139,2024-12-15 07:08:59,194052932879451179863
21408639,2024-12-15 18:53:11,200263258114745490992
21412139,2024-12-16 06:37:23,200263258114745490992
21415639,2024-12-16 18:20:35,201757616579236480504
21419139,2024-12-17 06:02:47,201757616579236480504
21422639,2024-12-17 17:45:11,201757616579236480504
21426139,2024-12-18 05:28:59,201757616579236480504
21429639,2024-12-18 17:12:59,201757616579236480504
21433139,2024-12-19 04:57:35,201757616579236480504
21436639,2024-12-19 16:43:11,201757616579236480504
21440139,2024-12-20 04:26:11,201757616579236480504
21443639,2024-12-20 16:09:35,205493858950488393732
21447139,2024-12-21 03:52:47,205493858950488393732
21450639,2024-12-21 15:39:11,205493858950488393732
21454139,2024-12-22 03:24:35,251526199011835793857
21457639,2024-12-22 15:08:11,251526199011835793857
21461139,2024-12-23 02:52:59,251526199011835793857
21464639,2024-12-23 14:38:35,251526199011835793857
21468139,2024-12-24 02:23:47,302710633774880090428
21471639,2024-12-24 14:09:11,302710633774880090428
21475139,2024-12-25 01:53:47,302710633774880090428
21478639,2024-12-25 13:37:35,302710633774880090428
21482139,2024-12-26 01:21:47,305179202492734575780
21485639,2024-12-26 13:07:23,305179202492734575780
21489139,2024-12-27 00:50:59,306549346273906737169
21492639,2024-12-27 12:36:11,306549346273906737169
21496139,2024-12-28 00:19:11,306549346273906737169
21499639,2024-12-28 12:02:23,306549346273906737169
21503139,2024-12-28 23:45:59,306549346273906737169
21506639,2024-12-29 11:29:35,306549346273906737169
21510139,2024-12-29 23:12:23,322966178954710684188
21513639,2024-12-30 10:55:59,322966178954710684188
21517139,2024-12-30 22:39:23,322966178954710684188
21520639,2024-12-31 10:22:59,322966178954710684188
21524139,2024-12-31 22:08:11,322966178954710684188
21527639,2025-01-01 09:50:59,322966178954710684188
21531139,2025-01-01 21:34:23,322966178954710684188
21534639,2025-01-02 09:17:35,322966178954710684188
21538139,2025-01-02 20:59:35,322966178954710684188
21541639,2025-01-03 08:43:11,322966178954710684188
21545139,2025-01-03 20:26:11,322966178954710684188
21548639,2025-01-04 08:10:35,322966178954710684188
21552139,2025-01-04 19:53:59,322966178954710684188
21555639,2025-01-05 07:37:11,322966178954710684188
21559139,2025-01-05 19:21:47,345397432251644691790
21562639,2025-01-06 07:07:35,348198267891967843612
21566139,2025-01-06 18:52:47,348198267891967843612
21569639,2025-01-07 06:35:11,348198267891967843612
21573139,2025-01-07 18:18:23,348198267891967843612
21576639,2025-01-08 06:02:23,348198267891967843612
21580139,2025-01-08 17:45:23,348198267891967843612
21583639,2025-01-09 05:27:47,348198267891967843612
21587139,2025-01-09 17:12:11,345729699174113358260
21590639,2025-01-10 04:55:59,345729699174113358260
21594139,2025-01-10 16:41:23,336709012257516165269
21597639,2025-01-11 04:23:47,336709012257516165269
21601139,2025-01-11 16:07:59,336709012257516165269
21604639,2025-01-12 03:51:47,336709012257516165269
21608139,2025-01-12 15:33:47,335338868476344003880
21611639,2025-01-13 03:17:11,335338868476344003880
21615139,2025-01-13 15:03:47,335338868476344003880
21618639,2025-01-14 02:46:35,335338868476344003880
21622139,2025-01-14 14:30:59,335338868476344003880
21625639,2025-01-15 02:14:35,335986767445544535966
21629139,2025-01-15 13:58:47,335986767445544535966
21632639,2025-01-16 01:41:47,335986767445544535966
21636139,2025-01-16 13:26:11,353134059673326705438
21639639,2025-01-17 01:08:35,353134059673326705438
21643139,2025-01-17 12:52:23,353134059673326705438
21646639,2025-01-18 00:35:47,353134059673326705438
21650139,2025-01-18 12:21:11,353134059673326705438
21653639,2025-01-19 00:03:47,353134059673326705438
21657139,2025-01-19 11:47:47,353134059673326705438
21660639,2025-01-19 23:31:35,353134059673326705438
21664139,2025-01-20 11:13:59,353134059673326705438
21667639,2025-01-20 22:57:11,353134059673326705438
21671139,2025-01-21 10:41:23,383008257808436538779
21674639,2025-01-21 22:25:35,384232497279735037081
21678139,2025-01-22 10:08:35,384232497279735037081
21681639,2025-01-22 21:51:35,384232497279735037081
21685139,2025-01-23 09:36:11,385228252778638663020
21688639,2025-01-23 21:19:11,385228252778638663020
21692139,2025-01-24 09:02:23,385228252778638663020
21695639,2025-01-24 20:44:47,385228252778638663020
21699139,2025-01-25 08:28:47,385228252778638663020
21702639,2025-01-25 20:13:23,385228252778638663020
21706139,2025-01-26 07:55:11,385228252778638663020
21709639,2025-01-26 19:38:59,385228252778638663020
21713139,2025-01-27 07:21:59,385228252778638663020
21716639,2025-01-27 19:04:47,385228252778638663020
21720139,2025-01-28 06:47:47,385228252778638663020
21723639,2025-01-28 18:32:23,362796999481704655418
21727139,2025-01-29 06:16:11,362796999481704655418
21730639,2025-01-29 17:59:23,362796999481704655418
21734139,2025-01-30 05:42:59,362796999481704655418
21737639,2025-01-30 17:26:11,349071941596824261418
21741139,2025-01-31 05:09:47,349071941596824261418
21744639,2025-01-31 16:54:47,349071941596824261418
21748139,2025-02-01 04:38:23,349071941596824261418
21751639,2025-02-01 16:22:11,349071941596824261418
21755139,2025-02-02 04:05:47,349071941596824261418
21758639,2025-02-02 15:50:35,349071941596824261418
21762139,2025-02-03 03:34:59,349071941596824261418
21765639,2025-02-03 15:19:59,349071941596824261418
21769139,2025-02-04 03:03:35,349071941596824261418
21772639,2025-02-04 14:48:35,349071941596824261418
21776139,2025-02-05 02:32:47,349071941596824261418
21779639,2025-02-05 14:16:35,338652651154273171404
21783139,2025-02-06 01:59:35,338652651154273171404
21786639,2025-02-06 13:42:59,338652651154273171404
21790139,2025-02-07 01:25:35,338652651154273171404
21793639,2025-02-07 13:08:35,338652651154273171404
21797139,2025-02-08 00:52:47,333411272163647417000
21800639,2025-02-08 12:35:59,333411272163647417000
21804139,2025-02-09 00:20:11,333411272163647417000
21807639,2025-02-09 12:03:35,339018499096233616537
21811139,2025-02-09 23:47:11,339018499096233616537
21814639,2025-02-10 11:30:59,339018499096233616537
21818139,2025-02-10 23:14:35,339018499096233616537
21821639,2025-02-11 10:58:11,339018499096233616537
21825139,2025-02-11 22:42:11,339018499096233616537
21828639,2025-02-12 10:29:47,339018499096233616537
21832139,2025-02-12 22:17:23,292986159034886216537
21835639,2025-02-13 10:00:59,296305159406295011398
21839139,2025-02-13 21:46:59,262360853092776574645
21842639,2025-02-14 09:32:35,274837974778589932154
21846139,2025-02-14 21:18:11,273613735307291433852
21849639,2025-02-15 09:06:23,273613735307291433852
21853139,2025-02-15 20:53:23,273613735307291433852
21856639,2025-02-16 08:40:35,285804761393251036879
21860139,2025-02-16 20:25:59,285804761393251036879
21863639,2025-02-17 08:11:23,293269478546203452513
21867139,2025-02-17 19:58:11,265669478546203452513
21870639,2025-02-18 07:41:35,265669478546203452513
21874139,2025-02-18 19:25:23,265669478546203452513
21877639,2025-02-19 07:09:47,265669478546203452513
21881139,2025-02-19 18:54:11,265669478546203452513
21884639,2025-02-20 06:38:11,267511939486637547815
21888139,2025-02-20 18:23:35,267511939486637547815
21891639,2025-02-21 06:10:11,267511939486637547815
21895139,2025-02-21 17:53:35,267511939486637547815
21898639,2025-02-22 05:37:23,267511939486637547815
21902139,2025-02-22 17:22:47,245654215493010586697
21905639,2025-02-23 05:06:11,245654215493010586697
21909139,2025-02-23 16:51:35,245654215493010586697
21912639,2025-02-24 04:34:59,154364172941394540216
21916139,2025-02-24 16:19:47,154364172941394540216
21919639,2025-02-25 04:03:47,154364172941394540216
