block_number,timestamp,total_borrowed,base_interest_rate,supply_rate,available_liquidity,expected_liquidity,total_supply,locked_lp_usd_balance,credit_manager_borrowed,credit_manager_debt_limit,credit_manager_borrowable
50071072,2025-05-21 21:54:07,0,0,0,0,0,0,0,0,0,0
50083072,2025-05-22 02:54:10,0,0,0,0,0,0,0,0,0,0
50095072,2025-05-22 07:54:10,0,0,0,0,0,0,0,0,0,0
50107072,2025-05-22 12:54:11,0,0,0,0,0,0,0,0,0,0
50119072,2025-05-22 17:54:13,0,0,0,0,0,0,0,0,0,0
50131072,2025-05-22 22:54:30,0,0,0,0,0,0,0,0,0,0
50143072,2025-05-23 03:54:31,0,0,0,0,0,0,0,0,0,0
50155072,2025-05-23 08:54:32,0,0,0,0,0,0,0,0,0,0
50167072,2025-05-23 13:54:34,0,0,0,0,0,0,0,0,0,0
50179072,2025-05-23 18:54:35,0,0,0,0,0,0,0,0,0,0
50191072,2025-05-23 23:54:39,0,0,0,0,0,0,0,0,0,0
50203072,2025-05-24 04:54:39,0,0,0,0,0,0,0,0,0,0
50215072,2025-05-24 09:54:46,0,0,0,0,0,0,0,0,0,0
50227072,2025-05-24 14:54:46,0,0,0,0,0,0,0,0,0,0
50239072,2025-05-24 19:54:56,0,0,0,0,0,0,0,0,0,0
50251072,2025-05-25 00:54:58,0,0,0,0,0,0,0,0,0,0
50263072,2025-05-25 05:54:59,0,0,0,0,0,0,0,0,0,0
50275072,2025-05-25 10:55:01,0,0,0,0,0,0,0,0,0,0
50287072,2025-05-25 15:55:03,0,0,0,0,0,0,0,0,0,0
50299072,2025-05-25 20:55:04,0,0,0,0,0,0,0,0,0,0
50311072,2025-05-26 01:55:07,0,0,0,0,,0,0,0,0,0
50323072,2025-05-26 06:55:09,0,0,0,0,0,0,0,0,0,
50335072,2025-05-26 11:56:01,0,0,0,0,0,0,0,0,0,0
50347072,2025-05-26 16:56:04,0,0,0,0,0,0,0,0,0,0
50359072,2025-05-26 21:56:07,0,0,0,0,0,0,0,0,0,0
50371072,2025-05-27 02:56:07,0,0,0,0,0,0,0,0,0,0
50383072,2025-05-27 07:56:09,0,0,0,0,0,0,0,0,0,0
50395072,2025-05-27 12:56:09,0,0,0,0,0,0,0,0,0,0
50407072,2025-05-27 17:56:31,0,0,0,0,0,0,0,0,0,0
50419072,2025-05-27 22:56:36,0,0,0,0,0,0,0,0,0,0
50431072,2025-05-28 03:56:41,0,0,0,0,0,0,0,0,0,0
50443072,2025-05-28 08:57:15,0,0,0,0,0,0,0,0,0,0
50455072,2025-05-28 13:57:17,0,0,0,0,0,0,0,,,0
50467072,2025-05-28 18:58:25,0,0,0,0,0,0,,0,0,0
50479072,2025-05-28 23:58:28,0,0,0,0,0,0,,0,0,0
50491072,2025-05-29 04:58:28,0,0,0,0,0,0,0,0,0,0
50503072,2025-05-29 10:00:29,0,0,0,0,0,0,0,0,0,0
50515072,2025-05-29 15:00:30,0,0,0,0,0,0,0,0,0,0
50527072,2025-05-29 20:00:33,0,0,0,0,0,0,0,0,0,0
50539072,2025-05-30 01:00:33,0,0,0,0,0,0,0,0,0,0
50551072,2025-05-30 06:00:34,0,0,0,0,0,0,0,0,0,0
50563072,2025-05-30 11:00:36,0,0,0,0,0,0,0,0,0,0
50575072,2025-05-30 16:00:40,0,0,0,0,0,0,0,0,0,0
50587072,2025-05-30 21:00:43,0,0,0,0,0,0,0,0,0,0
50599072,2025-05-31 02:00:43,0,0,0,0,0,0,0,0,0,0
50611072,2025-05-31 07:00:45,0,0,0,0,0,0,0,,0,0
50623072,2025-05-31 12:00:47,0,0,0,0,0,0,0,0,0,0
50635072,2025-05-31 17:00:51,0,0,0,0,0,0,0,0,0,0
50647072,2025-05-31 22:00:52,0,0,0,0,0,0,0,0,0,0
50659072,2025-06-01 03:00:52,0,0,0,0,0,0,0,0,0,0
50671072,2025-06-01 08:00:53,0,0,0,0,0,0,0,0,0,0
50683072,2025-06-01 13:00:55,0,0,0,0,0,0,0,0,0,0
50695072,2025-06-01 18:01:01,0,0,0,0,0,0,0,0,0,0
50707072,2025-06-01 23:01:13,0,0,0,0,0,0,0,0,0,0
50719072,2025-06-02 04:01:16,0,0,0,0,0,0,0,0,0,0
50731072,2025-06-02 09:01:18,0,0,0,0,0,0,0,0,0,0
50743072,2025-06-02 14:01:22,0,0,0,0,0,0,0,0,0,0
50755072,2025-06-02 19:01:29,0,0,0,0,0,0,0,0,0,0
50767072,2025-06-03 00:01:29,0,0,0,0,0,0,0,0,0,0
50779072,2025-06-03 05:01:31,0,0,0,0,0,0,0,0,0,0
50791072,2025-06-03 10:01:37,0,0,0,0,0,0,0,0,0,0
50803072,2025-06-03 15:01:43,0,0,0,0,0,0,0,0,0,0
50815072,2025-06-03 20:01:45,0,0,0,0,0,0,0,0,0,0
50827072,2025-06-04 01:01:49,0,0,0,0,0,0,0,0,0,0
