block_number,timestamp,total_borrowed,base_interest_rate,supply_rate,available_liquidity,expected_liquidity,total_supply,locked_lp_eth_balance,credit_manager_borrowed,credit_manager_debt_limit,credit_manager_borrowable
21395031,2024-12-13 21:17,23873892733681247000,14081416366482680571428571,694001766572939193264952,460531525771632607197,484405429588166493338,484405418505313854197,937386658167061105,23873892733681247000,100000000000000000000000000,460531525771632607197
21398531,2024-12-14 09:01,23078273233869862899,13612141357603781714285714,648515121275021216692434,461327154801409346626,484406156839045180370,484405428035279209525,19975251662976402394,23078273233869862899,100000000000000000000000000,461327154801409346626
21402031,2024-12-14 20:45,217531527030584262899,127918371953483829428571428,57267664890757949191611130,268351757494792230131,485898610313309616839,485883284525376493030,21250251662976402394,217531527030584262899,100000000000000000000000000,268351757494792230131
21405531,2024-12-15 08:27,251838252141318148899,148102265273933418857142857,76753784947922899051693678,234045032384058344131,485941060106203661327,485883284525376493030,21250251662976402394,251838252141318148899,100000000000000000000000000,234045032384058344131
21409031,2024-12-15 20:12,259415284649188747899,152570716873119649428571428,81438883949910047325116671,226469499876187745131,485998506206381225108,485884784525376493030,34510251662976402394,259415284649188747899,100000000000000000000000000,226469499876187745131
21412531,2024-12-16 07:56,259415284649188747899,151314838298475870571428571,80087064671621906370686518,230548535115796329960,490133856319922655506,489963819764985077859,34510251662976402394,259415284649188747899,100000000000000000000000000,230548535115796329960
21416031,2024-12-16 19:39,261574517056513592899,152580927191543681428571428,81419921805575391186942668,228389302708471484960,490190624813767591558,489963819764985077859,34510251662976402394,261574517056513592899,100000000000000000000000000,228389302708471484960
21419531,2024-12-17 07:21,261574517056513592899,152580927191543681428571428,81410483163751116339284253,228389302708471484960,490247456975344723054,489963819764985077859,39207349511644492110,261574517056513592899,100000000000000000000000000,228389302708471484960
21423031,2024-12-17 19:04,261574517056513592899,152580927191543681428571428,81401044023425148547770740,228389302708471484960,490304305319200207946,489963819764985077859,39277349511644492110,261574517056513592899,100000000000000000000000000,228389302708471484960
21426531,2024-12-18 06:48,261574517056513592899,152580927191543681428571428,81391588269812609637163174,228389302708471484960,490361266939004166619,489963819764985077859,39277349511644492110,261574517056513592899,100000000000000000000000000,228389302708471484960
21430031,2024-12-18 18:31,261574517056513592899,152627390934090053142857142,81398033223218559357636015,228442830826189768353,490471753337060473394,490017347882703361252,39277349511644492110,261574517056513592899,100000000000000000000000000,228442830826189768353
21433531,2024-12-19 06:16,261574517056513592899,152627390934090053142857142,81388564917397320054084870,228442830826189768353,490528812170349743822,490017347882703361252,39277349511644492110,261574517056513592899,100000000000000000000000000,228442830826189768353
