block_number,timestamp,spot_price
22182591,2025-04-02 21:02:23,2035636041467181948
22186091,2025-04-03 08:46:23,2035636041467181948
22189591,2025-04-03 20:30:47,2035636041467181948
22193091,2025-04-04 08:13:23,2035636041467181948
22196591,2025-04-04 19:56:23,2035655641991536816
22200091,2025-04-05 07:40:35,2035675265340813920
22203591,2025-04-05 19:24:47,2035694901594435426
22207091,2025-04-06 07:08:47,2035714533273382871
22210591,2025-04-06 18:53:35,2035734226840393039
22214091,2025-04-07 06:37:47,2035753865213452709
22217591,2025-04-07 18:22:47,2035758851959964633
22221091,2025-04-08 06:07:47,2035777817649767801
22224591,2025-04-08 17:49:47,2035797906108289669
22228091,2025-04-09 05:33:23,2035817907032203647
22231591,2025-04-09 17:17:11,2035837914667365333
22235091,2025-04-10 04:59:47,2035857889212424327
22238591,2025-04-10 16:40:47,2036634575179327014
22242091,2025-04-11 04:24:11,2036654574513976565
22245591,2025-04-11 16:06:23,2036674483262972582
22249091,2025-04-12 03:48:59,2036694463338005050
22252591,2025-04-12 15:30:11,2036714420086372997
22256091,2025-04-13 03:13:23,2036734418886066672
22259591,2025-04-13 14:55:47,2036754395957071021
22263091,2025-04-14 02:38:11,2036774374050619133
22266591,2025-04-14 14:20:11,2036794341788843550
22270091,2025-04-15 02:04:23,2036814373130316286
22273591,2025-04-15 13:48:59,2036834416878825860
22277091,2025-04-16 01:32:47,2036855934874554668
22280591,2025-04-16 13:14:35,2036875862448955770
22284091,2025-04-17 00:57:59,2036895963330887461
22287591,2025-04-17 12:42:35,2036915969104061803
22291091,2025-04-18 00:25:47,2037744835806342915
22294591,2025-04-18 12:07:47,2037776151508494101
22298091,2025-04-18 23:52:11,2037791363576382270
22301591,2025-04-19 11:34:47,2037811132541322298
