block_number,timestamp,spot_price
22182585,2025-04-02 21:01:11,2286227858989217406
22186085,2025-04-03 08:45:11,2286284783599727638
22189585,2025-04-03 20:29:35,2286252141931115536
22193085,2025-04-04 08:12:11,2286352881234685956
22196585,2025-04-04 19:55:11,2286568828355730099
22200085,2025-04-05 07:39:23,2287165439046423834
22203585,2025-04-05 19:23:35,2287452305815790085
22207085,2025-04-06 07:07:35,2287424519770663560
22210585,2025-04-06 18:52:23,2286818934772200332
22214085,2025-04-07 06:36:35,2286817069944919370
22217585,2025-04-07 18:21:35,2287364430662176632
22221085,2025-04-08 06:06:35,2288076805640345258
22224585,2025-04-08 17:48:35,2288084257657228493
22228085,2025-04-09 05:32:11,2288276254682746941
22231585,2025-04-09 17:15:59,2288148141167467218
22235085,2025-04-10 04:58:35,2288229682614584158
22238585,2025-04-10 16:39:35,2288659938652288728
22242085,2025-04-11 04:22:59,2288771001405994335
22245585,2025-04-11 16:05:11,2288820108721198810
22249085,2025-04-12 03:47:47,2288972561362164709
22252585,2025-04-12 15:28:59,2289035485561249584
22256085,2025-04-13 03:12:11,2289198261612075744
22259585,2025-04-13 14:54:35,2289000460594112693
22263085,2025-04-14 02:36:59,2289222918550913782
22266585,2025-04-14 14:18:59,2289533782651490255
22270085,2025-04-15 02:03:11,2289731394930247135
22273585,2025-04-15 13:47:47,2289632988255279384
22277085,2025-04-16 01:31:35,2289581392265907539
22280585,2025-04-16 13:13:23,2289543654417133031
22284085,2025-04-17 00:56:47,2289763338939174435
22287585,2025-04-17 12:41:23,2290146445946894326
22291085,2025-04-18 00:24:35,2290350279349986086
22294585,2025-04-18 12:06:35,2290525684615317659
22298085,2025-04-18 23:50:59,2290792010563416436
22301585,2025-04-19 11:33:35,2290616262350886695
