block_number,timestamp,total_supply
46604339,2025-02-13 01:07:20,26857543990626756915
46618339,2025-02-13 12:47:28,56857543990626756915
46632339,2025-02-14 00:27:28,72648033608176687593
46646339,2025-02-14 12:07:28,96670380959772806541
46660339,2025-02-14 23:47:32,237650739523877897932
46674339,2025-02-15 11:27:32,267896425669723139169
46688339,2025-02-15 23:07:44,268066401988559294243
46702339,2025-02-16 10:47:44,268066401988559294243
46716339,2025-02-16 22:28:24,268066401988559294243
46730339,2025-02-17 10:08:32,268066401988559294243
46744339,2025-02-17 21:48:35,321896709424508358580
46758339,2025-02-18 09:28:44,321896709424508358580
46772339,2025-02-18 21:08:44,347678661058072040076
46786339,2025-02-19 08:48:45,347678661058072040076
46800339,2025-02-19 20:28:51,349037998257646518022
46814339,2025-02-20 08:08:52,349107940488231688464
46828339,2025-02-20 19:48:52,1362603003171780458899
46842339,2025-02-21 07:28:55,1362743190790452760642
46856339,2025-02-21 19:08:57,1407291154115901350817
46870339,2025-02-22 06:49:02,1408440030068051054067
46884339,2025-02-22 18:29:02,1408440030068051054067
46898339,2025-02-23 06:09:06,1409738944300244845327
46912339,2025-02-23 17:49:06,1409738944300244845327
46926339,2025-02-24 05:29:18,1409738944300244845327
46940339,2025-02-24 17:09:39,1409738944300244845327
46954339,2025-02-25 04:49:42,1409738944300244845327
46968339,2025-02-25 16:29:42,1414833775589870510048
46982339,2025-02-26 04:09:45,1415832832056015161430
46996339,2025-02-26 15:49:45,1415832832056015161430
47010339,2025-02-27 03:29:47,1415832832056015161430
47024339,2025-02-27 15:09:49,1415882784879322393999
47038339,2025-02-28 02:49:49,1415882784879322393999
47052339,2025-02-28 14:29:50,1415882784879322393999
47066339,2025-03-01 02:09:51,1415882784879322393999
47080339,2025-03-01 13:49:52,1415882784879322393999
47094339,2025-03-02 01:29:52,1415897770726314563769
47108339,2025-03-02 13:09:52,1415897770726314563769
47122339,2025-03-03 00:49:52,1415897770726314563769
47136339,2025-03-03 12:29:56,1415897770726314563769
47150339,2025-03-04 00:10:00,1415897770726314563769
47164339,2025-03-04 11:50:01,1415897770726314563769
47178339,2025-03-04 23:30:01,1414085578448364528969
47192339,2025-03-05 11:10:01,1414085578448364528969
47206339,2025-03-05 22:50:04,1414085578448364528969
47220339,2025-03-06 10:30:04,1412986494750256825076
47234339,2025-03-06 22:10:09,1412686494750256825076
47248339,2025-03-07 09:50:19,1412686494750256825076
47262339,2025-03-07 21:30:24,1409636919618196395795
47276339,2025-03-08 09:10:24,1409636919618196395795
47290339,2025-03-08 20:50:30,1409636919618196395795
47304339,2025-03-09 08:30:30,1409636919618196395795
47318339,2025-03-09 20:10:30,1413970983925701413726
47332339,2025-03-10 07:50:34,1413970983925701413726
47346339,2025-03-10 19:30:42,1413970983925701413726
47360339,2025-03-11 07:10:44,1413970983925701413726
47374339,2025-03-11 18:50:45,1420051726893868062515
47388339,2025-03-12 06:30:50,1420051726893868062515
47402339,2025-03-12 18:10:50,1420051726893868062515
47416339,2025-03-13 05:50:51,1420051726893868062515
47430339,2025-03-13 17:30:55,1420051726893868062515
47444339,2025-03-14 05:10:55,1420051726893868062515
47458339,2025-03-14 16:51:07,1420231460659039591993
47472339,2025-03-15 04:31:07,1417181885526979162711
47486339,2025-03-15 16:11:07,1417181885526979162711
47500339,2025-03-16 03:51:07,1417181885526979162711
47514339,2025-03-16 15:31:07,1417181885526979162711
47528339,2025-03-17 03:11:15,1417181885526979162711
