block_number,timestamp,total_supply
50071076,2025-05-21 21:54:13,0
50083076,2025-05-22 02:54:16,0
50095076,2025-05-22 07:54:16,0
50107076,2025-05-22 12:54:17,0
50119076,2025-05-22 17:54:19,0
50131076,2025-05-22 22:54:36,0
50143076,2025-05-23 03:54:37,0
50155076,2025-05-23 08:54:38,0
50167076,2025-05-23 13:54:40,0
50179076,2025-05-23 18:54:41,0
50191076,2025-05-23 23:54:45,0
50203076,2025-05-24 04:54:45,0
50215076,2025-05-24 09:54:52,0
50227076,2025-05-24 14:54:52,0
50239076,2025-05-24 19:55:02,0
50251076,2025-05-25 00:55:04,0
50263076,2025-05-25 05:55:05,0
50275076,2025-05-25 10:55:07,0
50287076,2025-05-25 15:55:09,0
50299076,2025-05-25 20:55:10,0
50311076,2025-05-26 01:55:13,0
50323076,2025-05-26 06:55:15,0
50335076,2025-05-26 11:56:07,0
50347076,2025-05-26 16:56:10,0
50359076,2025-05-26 21:56:13,0
50371076,2025-05-27 02:56:13,0
50383076,2025-05-27 07:56:15,0
50395076,2025-05-27 12:56:15,0
50407076,2025-05-27 17:56:37,0
50419076,2025-05-27 22:56:42,0
50431076,2025-05-28 03:56:47,0
50443076,2025-05-28 08:57:21,0
50455076,2025-05-28 13:57:23,0
50467076,2025-05-28 18:58:31,0
50479076,2025-05-28 23:58:34,0
50491076,2025-05-29 04:58:34,0
50503076,2025-05-29 10:00:35,0
50515076,2025-05-29 15:00:36,0
50527076,2025-05-29 20:00:39,0
50539076,2025-05-30 01:00:39,0
50551076,2025-05-30 06:00:40,0
50563076,2025-05-30 11:00:42,0
50575076,2025-05-30 16:00:46,0
50587076,2025-05-30 21:00:49,0
50599076,2025-05-31 02:00:49,0
50611076,2025-05-31 07:00:51,0
50623076,2025-05-31 12:00:53,0
50635076,2025-05-31 17:00:57,0
50647076,2025-05-31 22:00:58,0
50659076,2025-06-01 03:00:58,0
50671076,2025-06-01 08:00:59,0
50683076,2025-06-01 13:01:01,0
50695076,2025-06-01 18:01:07,0
50707076,2025-06-01 23:01:19,0
50719076,2025-06-02 04:01:22,0
50731076,2025-06-02 09:01:24,0
50743076,2025-06-02 14:01:28,0
50755076,2025-06-02 19:01:35,0
50767076,2025-06-03 00:01:35,0
50779076,2025-06-03 05:01:37,0
50791076,2025-06-03 10:01:43,0
50803076,2025-06-03 15:01:49,0
50815076,2025-06-03 20:01:51,0
50827076,2025-06-04 01:01:55,0
