block_number,timestamp,total_supply
22074510,2025-03-18 18:58:47,0
22078010,2025-03-19 06:42:59,1000000
22081510,2025-03-19 18:27:47,1101555930
22085010,2025-03-20 06:11:59,6101555930
22088510,2025-03-20 17:55:47,6101555930
22092010,2025-03-21 05:39:11,6601555930
22095510,2025-03-21 17:22:11,56501555930
22099010,2025-03-22 05:03:11,56501555930
22102510,2025-03-22 16:47:11,56501555930
22106010,2025-03-23 04:29:59,56501555930
22109510,2025-03-23 16:11:47,56501555930
22113010,2025-03-24 03:55:11,56501555930
22116510,2025-03-24 15:37:11,56501555930
22120010,2025-03-25 03:21:23,56501555930
22123510,2025-03-25 15:06:11,56501555930
22127010,2025-03-26 02:51:59,56501555930
22130510,2025-03-26 14:34:23,56501555930
22134010,2025-03-27 02:16:23,57501555930
22137510,2025-03-27 13:59:59,57501555930
22141010,2025-03-28 01:43:35,57501555930
22144510,2025-03-28 13:26:59,57887708859
22148010,2025-03-29 01:11:47,58347430102
22151510,2025-03-29 12:56:47,58347430102
22155010,2025-03-30 00:40:35,58347430102
22158510,2025-03-30 12:23:59,58914315517
22162010,2025-03-31 00:07:11,58504594274
22165510,2025-03-31 11:49:35,58504594274
22169010,2025-03-31 23:33:59,58504594274
22172510,2025-04-01 11:17:47,58504594274
22176010,2025-04-01 23:00:59,58504594274
22179510,2025-04-02 10:43:47,58504594274
22183010,2025-04-02 22:26:47,58504594274
22186510,2025-04-03 10:10:35,58504594274
22190010,2025-04-03 21:55:23,58504594274
22193510,2025-04-04 09:37:11,58504594274
22197010,2025-04-04 21:20:35,58505594274
22200510,2025-04-05 09:04:35,58505594274
22200511,2025-04-05 09:04:47,58505594274
22204011,2025-04-05 20:49:23,58505594274
22207511,2025-04-06 08:32:59,58505594274
22211011,2025-04-06 20:17:59,58505594274
22214511,2025-04-07 08:02:11,58505594274
22214512,2025-04-07 08:02:23,58505594274
22214513,2025-04-07 08:02:35,58505594274
22214514,2025-04-07 08:02:47,58505594274
22218014,2025-04-07 19:48:23,58505594274
22221514,2025-04-08 07:32:35,9505594274
22221515,2025-04-08 07:32:47,9505594274
22225015,2025-04-08 19:14:47,10913910065
22228515,2025-04-09 06:59:11,109813910065
22232015,2025-04-09 18:42:23,109813910065
22232016,2025-04-09 18:42:35,109813910065
22235516,2025-04-10 06:24:47,109813910065
22235517,2025-04-10 06:24:59,109813910065
22239017,2025-04-10 18:06:11,109813910065
22242517,2025-04-11 05:49:23,109413910065
22246017,2025-04-11 17:31:47,109413910065
22249517,2025-04-12 05:14:23,109313910065
22253017,2025-04-12 16:55:35,109313910065
22256517,2025-04-13 04:38:59,109313910065
22260017,2025-04-13 16:21:35,109313910065
22263517,2025-04-14 04:03:35,109313910065
22267017,2025-04-14 15:45:59,109313910065
22270517,2025-04-15 03:29:47,109313910065
22274017,2025-04-15 15:14:23,109653484023
22277517,2025-04-16 02:58:23,109653484023
22277518,2025-04-16 02:58:35,109653484023
22281018,2025-04-16 14:39:59,109653484023
22284518,2025-04-17 02:23:47,9654484023
22288018,2025-04-17 14:07:59,12776570674
22291518,2025-04-18 01:51:11,37765506209
22295018,2025-04-18 13:33:47,41763229606
22298518,2025-04-19 01:17:47,52318094658
22298519,2025-04-19 01:17:59,52318094658
22302019,2025-04-19 13:00:59,52318094658
22302020,2025-04-19 13:01:11,52318094658
22304020,2025-04-19 19:43:11,52318094658
22306020,2025-04-20 02:25:23,52318094658
22308020,2025-04-20 09:07:47,52318094658
22310020,2025-04-20 15:49:23,52318094658
22312020,2025-04-20 22:31:47,52318094658
22314020,2025-04-21 05:14:35,53618094658
22316020,2025-04-21 11:55:59,53618094658
22318020,2025-04-21 18:37:11,54048094658
22320020,2025-04-22 01:19:23,54048094658
22322020,2025-04-22 08:01:47,54048094658
22324020,2025-04-22 14:42:59,54048094658
22326020,2025-04-22 21:24:11,129048140894
22328020,2025-04-23 04:06:11,129048140894
22330020,2025-04-23 10:49:59,128004571787
22332020,2025-04-23 17:32:23,128042703982
22332021,2025-04-23 17:32:35,128042703982
22334021,2025-04-24 00:13:35,128042703982
22336021,2025-04-24 06:54:35,128042703982
22338021,2025-04-24 13:37:23,128042703982
22340021,2025-04-24 20:21:23,130202703982
22342021,2025-04-25 03:02:35,130202703982
22344021,2025-04-25 09:43:35,130202703982
22346021,2025-04-25 16:24:47,130202703982
22348021,2025-04-25 23:07:35,147092648864
22350021,2025-04-26 05:48:23,147092648864
22352021,2025-04-26 12:29:35,147092648864
22354021,2025-04-26 19:10:59,147092648864
22356021,2025-04-27 01:52:35,147092648864
22358021,2025-04-27 08:32:47,147092648864
22360021,2025-04-27 15:13:47,147092648864
22362021,2025-04-27 21:55:11,155084648864
22364021,2025-04-28 04:36:35,155084648864
22366021,2025-04-28 11:17:59,155084648864
22368021,2025-04-28 18:01:11,155084648864
22370021,2025-04-29 00:43:47,155084648864
22372021,2025-04-29 07:26:11,155084648864
22374021,2025-04-29 14:08:35,155084648864
22376021,2025-04-29 20:50:47,155084648864
22378021,2025-04-30 03:34:11,155084648864
22380021,2025-04-30 10:17:35,155084648864
22382021,2025-04-30 17:00:35,155084648864
22384021,2025-04-30 23:44:23,155084648864
22386021,2025-05-01 06:26:23,155084648864
22388021,2025-05-01 13:10:47,155084648864
22390021,2025-05-01 19:54:11,155084648864
22392021,2025-05-02 02:37:35,155584648864
22394021,2025-05-02 09:22:47,155584648864
22396021,2025-05-02 16:08:23,155584648864
22398021,2025-05-02 22:51:47,195683048864
22400021,2025-05-03 05:36:11,195683048864
22402021,2025-05-03 12:20:23,185683048864
22404021,2025-05-03 19:01:59,185683048864
22406021,2025-05-04 01:44:23,185683048864
22408021,2025-05-04 08:28:23,185683048864
22410021,2025-05-04 15:12:11,196683048864
22412021,2025-05-04 21:56:23,186683048864
22414021,2025-05-05 04:39:47,186683048864
22416021,2025-05-05 11:22:47,186683048864
22418021,2025-05-05 18:05:35,186683048864
22420021,2025-05-06 00:49:23,186683048864
22422021,2025-05-06 07:34:11,186683048864
22422022,2025-05-06 07:34:23,186683048864
22424022,2025-05-06 14:18:47,186683048864
22426022,2025-05-06 21:01:35,186683048864
22428022,2025-05-07 03:45:47,186683048864
22430022,2025-05-07 10:30:47,206123048864
22432022,2025-05-07 17:22:11,206123048864
22434022,2025-05-08 00:11:47,206123048864
22436022,2025-05-08 07:00:59,206123048864
22438022,2025-05-08 13:46:23,194245568035
22440022,2025-05-08 20:34:23,132386405895
22442022,2025-05-09 03:20:23,132386405895
22444022,2025-05-09 10:05:11,132386405895
22446022,2025-05-09 16:50:23,132386405895
22448022,2025-05-09 23:40:35,132386405895
22450022,2025-05-10 06:26:47,132386405895
22452022,2025-05-10 13:12:59,132386405895
22454022,2025-05-10 19:56:23,132386405895
22456022,2025-05-11 02:43:35,132386405895
22458022,2025-05-11 09:29:11,132280224956
22460022,2025-05-11 16:13:11,132280224956
22462022,2025-05-11 22:58:11,132280224956
22464022,2025-05-12 05:44:23,132280224956
22466022,2025-05-12 12:28:23,132280224956
22468022,2025-05-12 19:14:23,132280224956
22470022,2025-05-13 02:00:47,132280224956
22472022,2025-05-13 08:47:35,132280224956
22474022,2025-05-13 15:31:23,132280224956
22476022,2025-05-13 22:17:35,132280224956
22478022,2025-05-14 05:01:23,132280224956
22480022,2025-05-14 11:48:23,132280224956
22482022,2025-05-14 18:33:35,131940650998
22484022,2025-05-15 01:18:35,131940650998
22486022,2025-05-15 08:04:11,131940650998
22488022,2025-05-15 14:49:11,131940650998
22490022,2025-05-15 21:33:11,131940650998
22492022,2025-05-16 04:17:23,131940650998
22494022,2025-05-16 11:01:23,131940650998
22496022,2025-05-16 17:46:23,131940650998
22498022,2025-05-17 00:32:23,131940650998
22500022,2025-05-17 07:16:11,138124650998
22502022,2025-05-17 13:59:59,138124650998
22504022,2025-05-17 20:43:35,138124650998
22506022,2025-05-18 03:27:59,138124650998
22508022,2025-05-18 10:12:59,138124650998
22510022,2025-05-18 16:58:23,137765042890
22512022,2025-05-18 23:41:11,137765042890
22514022,2025-05-19 06:25:35,137765042890
22516022,2025-05-19 13:08:35,137765042890
22518022,2025-05-19 19:53:11,169179205030
22520022,2025-05-20 02:37:23,169179205030
22522022,2025-05-20 09:21:11,169179205030
22524022,2025-05-20 16:06:35,169179205030
22526022,2025-05-20 22:50:35,169179205030
22528022,2025-05-21 05:33:59,169179205030
22530022,2025-05-21 12:16:59,169179205030
22532022,2025-05-21 19:00:47,169179205030
22534022,2025-05-22 01:43:59,169179205030
22536022,2025-05-22 08:26:59,169179205030
22538022,2025-05-22 15:09:23,174609205030
22540022,2025-05-22 21:51:23,174609205030
22542022,2025-05-23 04:34:47,174609205030
22544022,2025-05-23 11:16:47,174609205030
22546022,2025-05-23 18:00:23,174609205030
22548022,2025-05-24 00:43:23,174609205030
22550022,2025-05-24 07:27:35,181194205030
22552022,2025-05-24 14:11:47,181194205030
22554022,2025-05-24 20:54:47,181194205030
22556022,2025-05-25 03:37:47,181194205030
22558022,2025-05-25 10:21:35,181194205030
22560022,2025-05-25 17:05:59,181206612903
22562022,2025-05-25 23:49:23,181206612903
22564022,2025-05-26 06:33:35,189807612903
22566022,2025-05-26 13:18:11,189807612903
22568022,2025-05-26 20:02:11,189807612903
22570022,2025-05-27 02:43:11,189807612903
22572022,2025-05-27 09:25:11,189807612903
22574022,2025-05-27 16:08:47,189807612903
22576022,2025-05-27 22:50:23,189807612903
22578022,2025-05-28 05:33:35,189807612903
22580022,2025-05-28 12:18:47,189807612903
22582022,2025-05-28 19:02:23,190807612903
22584022,2025-05-29 01:44:47,190807612903
22586022,2025-05-29 08:27:47,196807612903
22588022,2025-05-29 15:10:23,204344737488
22590022,2025-05-29 21:54:47,204344737488
22590023,2025-05-29 21:54:59,204344737488
22592023,2025-05-30 04:37:47,204344737488
22594023,2025-05-30 11:20:47,204344737488
22596023,2025-05-30 18:03:59,204344737488
22598023,2025-05-31 00:46:11,204344737488
22600023,2025-05-31 07:27:23,204344737488
22602023,2025-05-31 14:09:59,204344737488
22604023,2025-05-31 20:53:47,204344737488
22606023,2025-06-01 03:36:11,239344737488
22608023,2025-06-01 10:19:59,239344737488
22610023,2025-06-01 17:02:59,239344737488
22612023,2025-06-01 23:47:11,239344737488
22614023,2025-06-02 06:29:23,239344737488
22616023,2025-06-02 13:11:35,239344737488
22618023,2025-06-02 19:57:11,239344737488
22620023,2025-06-03 02:40:59,239344737488
22622023,2025-06-03 09:23:35,253264737488
22624023,2025-06-03 16:07:11,253264737488
22626023,2025-06-03 22:49:35,253264737488
