block_number,timestamp,spot_price
22074526,2025-03-18 19:01:59,2000545333505519818
22078026,2025-03-19 06:46:23,1999720287497617539
22081526,2025-03-19 18:30:59,2003148343179048127
22085026,2025-03-20 06:15:11,2000302764182874442
22088526,2025-03-20 17:58:59,2007327531120585080
22092026,2025-03-21 05:42:23,2011735382641822338
22095526,2025-03-21 17:25:23,2009432844217522574
22099026,2025-03-22 05:06:23,2013376667471052465
22102526,2025-03-22 16:50:23,2010892734996819146
22106026,2025-03-23 04:33:11,2007966658785074229
22109526,2025-03-23 16:14:59,2008538840387635595
22113026,2025-03-24 03:58:23,2005208663824437005
22116526,2025-03-24 15:40:23,2005752584450830441
22120026,2025-03-25 03:24:35,2007615431819965712
22123526,2025-03-25 15:09:23,2005036940170212275
22127026,2025-03-26 02:55:11,2008256855882924771
22130526,2025-03-26 14:37:35,2011947653960609711
22134026,2025-03-27 02:19:35,2007396340440571721
22137526,2025-03-27 14:03:11,2007358276806440150
22141026,2025-03-28 01:46:47,2002043484852518184
22144526,2025-03-28 13:30:11,2002086651500831296
22148026,2025-03-29 01:14:59,2000556339700146635
22151526,2025-03-29 12:59:59,2000819295400711594
22155026,2025-03-30 00:43:47,2003505736986294590
22158526,2025-03-30 12:27:11,2000424125694775445
22162026,2025-03-31 00:10:23,2000452803832865443
22165526,2025-03-31 11:52:47,2003428578624757835
22169026,2025-03-31 23:37:11,2007928088243014685
22172526,2025-04-01 11:20:59,2002630965961765321
22176026,2025-04-01 23:04:11,2003520919408843836
22179526,2025-04-02 10:46:59,2005417775416253563
22183026,2025-04-02 22:29:59,2005440290962306372
22186526,2025-04-03 10:13:47,2005857427615254663
22190026,2025-04-03 21:58:35,2006048540940208158
22193526,2025-04-04 09:40:23,2006145019295339236
22197026,2025-04-04 21:23:47,1999702827268714064
22200526,2025-04-05 09:07:47,2000081748273001725
22204026,2025-04-05 20:52:23,2000197198050030307
22207526,2025-04-06 08:35:59,1999139220423420959
22211026,2025-04-06 20:20:59,2008777173004331344
22214526,2025-04-07 08:05:11,2009220357365463196
22214527,2025-04-07 08:05:23,2009220379901792398
22218027,2025-04-07 19:50:59,2004573427423537825
22221527,2025-04-08 07:35:11,2008674858297856857
22221528,2025-04-08 07:35:23,2008675500352828815
22225028,2025-04-08 19:17:47,2005147988791239319
22228528,2025-04-09 07:01:47,2006400375300968696
22232028,2025-04-09 18:45:11,2010477200302223131
